1;Tinamiformes;Tinamous;Tinamofåglar;Tinamidae;Tinamous;Tinamoer
6051;Passeriformes;Perching Birds;Tättingar;Pardalotidae;Pardalotes;Pardaloter
6056;Passeriformes;Perching Birds;Tättingar;Acanthizidae;Australasian Warblers;Taggnäbbar
6122;Passeriformes;Perching Birds;Tättingar;Pomatostomidae;Australasian Babblers;Bågnäbbar
6128;Passeriformes;Perching Birds;Tättingar;Orthonychidae;Logrunners;Marksmygar
6132;Passeriformes;Perching Birds;Tättingar;Cnemophilidae;Satinbirds;Satängfåglar
6136;Passeriformes;Perching Birds;Tättingar;Melanocharitidae;Berrypeckers, Longbills;Bärpickare
6147;Passeriformes;Perching Birds;Tättingar;Paramythiidae;Painted Berrypeckers;Mesbärpickare
6150;Passeriformes;Perching Birds;Tättingar;Callaeidae;New Zealand Wattlebirds;Vårtkråkor
6156;Passeriformes;Perching Birds;Tättingar;Notiomystidae;Stitchbird;Hihier
6158;Passeriformes;Perching Birds;Tättingar;Psophodidae;Whipbirds, Jewel-babblers and Quail-thrushes;Snärtfåglar
6176;Passeriformes;Perching Birds;Tättingar;Platysteiridae;Wattle-eyes, Batises;Flikögon
6210;Passeriformes;Perching Birds;Tättingar;Tephrodornithidae;Woodshrikes and allies;Skogstörnskator
6219;Passeriformes;Perching Birds;Tättingar;Prionopidae;Helmetshrikes;Hjälmtörnskator
6228;Passeriformes;Perching Birds;Tättingar;Malaconotidae;Bushshrikes;Busktörnskator
6279;Passeriformes;Perching Birds;Tättingar;Machaerirhynchidae;Boatbills;Båtnäbbar
6282;Passeriformes;Perching Birds;Tättingar;Vangidae;Vangas;Vangor
6304;Passeriformes;Perching Birds;Tättingar;Pityriaseidae;Bristlehead;Borstskrikor
6306;Passeriformes;Perching Birds;Tättingar;Artamidae;Woodswallows, butcherbirds and allies;Svalstarar
6331;Passeriformes;Perching Birds;Tättingar;Rhagologidae;Mottled Whistler;Bärätare
6333;Passeriformes;Perching Birds;Tättingar;Aegithinidae;Ioras;Ioror
6338;Passeriformes;Perching Birds;Tättingar;Campephagidae;Cuckooshrikes;Gråfåglar
6431;Passeriformes;Perching Birds;Tättingar;Mohouidae;Whiteheads;Mohuor
6435;Passeriformes;Perching Birds;Tättingar;Neosittidae;Sittellas;Sitellor
